date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:52:57	13477/13477	---M--	200	added ('OK')	text/html	etag:%22bafkreidsrweacyxpsk5pqnv25w5o7xref6mv2fzwrvrv3xfocv5bq6gsli%22	https://gateway.lighthouse.storage/ipfs/bafkreidsrweacyxpsk5pqnv25w5o7xref6mv2fzwrvrv3xfocv5bq6gsli	C:/My%20Web%20Sites/web/gateway.lighthouse.storage/ipfs/bafkreidsrweacyxpsk5pqnv25w5o7xref6mv2fzwrvrv3xfocv5bq6gsli.html	(from )
03:52:57	84/84	---M--	200	added ('OK')	text/plain	etag:%22655f35a7-54%22	https://gateway.lighthouse.storage/robots.txt		(from )
03:52:59	6358/6358	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://sh001.webhostbox.net:2096/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css	C:/My%20Web%20Sites/web/sh001.webhostbox.net_2096/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css	(from https://gateway.lighthouse.storage/ipfs/bafkreidsrweacyxpsk5pqnv25w5o7xref6mv2fzwrvrv3xfocv5bq6gsli)
03:53:01	142431/142431	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2021:35:49%20GMT	https://sh001.webhostbox.net:2096/cPanel_magic_revision_1560357916/unprotected/cpanel/style_v2_optimized.css	C:/My%20Web%20Sites/web/sh001.webhostbox.net_2096/cPanel_magic_revision_1560357916/unprotected/cpanel/style_v2_optimized.css	(from https://gateway.lighthouse.storage/ipfs/bafkreidsrweacyxpsk5pqnv25w5o7xref6mv2fzwrvrv3xfocv5bq6gsli)
03:53:02	69597/69597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	C:/My%20Web%20Sites/web/code.jquery.com/jquery-3.2.1.slim.min.js	(from https://gateway.lighthouse.storage/ipfs/bafkreidsrweacyxpsk5pqnv25w5o7xref6mv2fzwrvrv3xfocv5bq6gsli)
03:53:02	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/My%20Web%20Sites/web/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://gateway.lighthouse.storage/ipfs/bafkreidsrweacyxpsk5pqnv25w5o7xref6mv2fzwrvrv3xfocv5bq6gsli)
03:53:03	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214d449eb8876fa55e1ef3c2cc52b0c17%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	C:/My%20Web%20Sites/web/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://gateway.lighthouse.storage/ipfs/bafkreidsrweacyxpsk5pqnv25w5o7xref6mv2fzwrvrv3xfocv5bq6gsli)
03:53:04	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/My%20Web%20Sites/web/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://gateway.lighthouse.storage/ipfs/bafkreidsrweacyxpsk5pqnv25w5o7xref6mv2fzwrvrv3xfocv5bq6gsli)
03:53:09	51039/51039	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:06%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	C:/My%20Web%20Sites/web/stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	(from https://gateway.lighthouse.storage/ipfs/bafkreidsrweacyxpsk5pqnv25w5o7xref6mv2fzwrvrv3xfocv5bq6gsli)
03:53:11	118259/118259	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://sh001.webhostbox.net:2096/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Bold-webfont.svg	C:/My%20Web%20Sites/web/sh001.webhostbox.net_2096/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Bold-webfont.svg	(from https://sh001.webhostbox.net:2096/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
